gestational_age_week,gestational_age_day,L,M,S,p10,p90
22,0,2.1,19.468,0.055,18,20.8
22,1,2.103,19.565,0.056,18.1,20.9
22,2,2.11,19.757,0.056,18.3,21.1
22,3,2.113,19.854,0.056,18.4,21.2
22,4,2.12,20.046,0.056,18.5,21.4
22,5,2.124,20.142,0.056,18.6,21.5
22,6,2.131,20.334,0.057,18.8,21.8
23,0,2.135,20.43,0.057,18.9,21.9
23,1,2.138,20.526,0.057,19,22
23,2,2.146,20.717,0.057,19.1,22.2
23,3,2.15,20.812,0.057,19.2,22.3
23,4,2.158,21.002,0.058,19.4,22.5
23,5,2.162,21.097,0.058,19.5,22.6
23,6,2.17,21.286,0.058,19.6,22.8
24,0,2.174,21.381,0.058,19.7,22.9
24,1,2.178,21.475,0.058,19.8,23
24,2,2.187,21.665,0.059,20,23.2
24,3,2.191,21.759,0.059,20,23.3
24,4,2.2,21.95,0.059,20.2,23.5
24,5,2.205,22.046,0.059,20.3,23.7
24,6,2.213,22.238,0.06,20.5,23.9
25,0,2.218,22.335,0.06,20.5,24
25,1,2.222,22.432,0.06,20.6,24.1
25,2,2.23,22.628,0.06,20.8,24.3
25,3,2.235,22.727,0.06,20.9,24.4
25,4,2.243,22.925,0.061,21,24.6
25,5,2.247,23.025,0.061,21.1,24.7
25,6,2.254,23.225,0.061,21.3,25
26,0,2.258,23.326,0.061,21.4,25.1
26,1,2.262,23.427,0.062,21.5,25.2
26,2,2.268,23.629,0.062,21.7,25.4
26,3,2.271,23.73,0.062,21.7,25.5
26,4,2.277,23.933,0.062,21.9,25.8
26,5,2.28,24.035,0.062,22,25.9
26,6,2.286,24.239,0.063,22.2,26.1
27,0,2.288,24.341,0.063,22.3,26.2
27,1,2.291,24.444,0.063,22.4,26.3
27,2,2.295,24.649,0.063,22.5,26.5
27,3,2.297,24.752,0.063,22.6,26.7
27,4,2.301,24.959,0.063,22.8,26.9
27,5,2.303,25.062,0.063,22.9,27
27,6,2.307,25.268,0.064,23.1,27.2
28,0,2.308,25.372,0.064,23.2,27.3
28,1,2.31,25.475,0.064,23.3,27.5
28,2,2.312,25.68,0.064,23.5,27.7
