gestational_age_week,gestational_age_day,L,M,S,p10,p90
22,0,1.874,27.203,0.06,25,29.2
22,1,1.91,27.345,0.06,25.2,29.4
22,2,1.981,27.63,0.06,25.4,29.7
22,3,2.016,27.772,0.06,25.5,29.8
22,4,2.089,28.056,0.06,25.8,30.1
22,5,2.125,28.198,0.06,25.9,30.3
22,6,2.199,28.484,0.06,26.2,30.6
23,0,2.237,28.627,0.06,26.3,30.7
23,1,2.274,28.77,0.06,26.4,30.9
23,2,2.348,29.059,0.06,26.7,31.2
23,3,2.385,29.204,0.06,26.8,31.3
23,4,2.457,29.496,0.06,27.1,31.6
23,5,2.494,29.643,0.06,27.2,31.8
23,6,2.565,29.938,0.059,27.5,32.1
24,0,2.6,30.087,0.059,27.6,32.3
24,1,2.635,30.237,0.059,27.8,32.4
24,2,2.702,30.538,0.059,28,32.7
24,3,2.734,30.69,0.059,28.2,32.9
24,4,2.797,30.995,0.059,28.5,33.2
24,5,2.826,31.148,0.059,28.6,33.4
24,6,2.88,31.456,0.059,28.9,33.7
25,0,2.903,31.611,0.059,29,33.8
25,1,2.925,31.766,0.059,29.2,34
25,2,2.961,32.078,0.058,29.5,34.3
25,3,2.976,32.235,0.058,29.6,34.5
25,4,3.001,32.551,0.058,29.9,34.8
25,5,3.012,32.709,0.058,30.1,35
25,6,3.028,33.025,0.057,30.4,35.3
26,0,3.034,33.184,0.057,30.5,35.5
26,1,3.039,33.343,0.057,30.7,35.6
26,2,3.046,33.66,0.057,31,35.9
26,3,3.048,33.818,0.056,31.2,36.1
26,4,3.049,34.133,0.056,31.5,36.4
26,5,3.048,34.291,0.056,31.6,36.6
26,6,3.043,34.604,0.055,32,36.9
27,0,3.038,34.759,0.055,32.1,37
27,1,3.032,34.914,0.055,32.3,37.2
27,2,3.016,35.222,0.054,32.6,37.5
27,3,3.005,35.376,0.054,32.7,37.7
27,4,2.981,35.68,0.053,33,38
27,5,2.967,35.831,0.053,33.2,38.1
27,6,2.936,36.132,0.053,33.5,38.4
28,0,2.919,36.282,0.053,33.7,38.6
28,1,2.9,36.431,0.053,33.8,38.7
28,2,2.86,36.728,0.052,34.1,39
28,3,2.838,36.876,0.052,34.2,39.2
28,4,2.789,37.172,0.052,34.5,39.5
28,5,2.763,37.319,0.052,34.7,39.7
28,6,2.704,37.614,0.052,35,40
29,0,2.673,37.761,0.051,35.1,40.1
29,1,2.64,37.908,0.051,35.3,40.3
29,2,2.572,38.202,0.051,35.5,40.6
29,3,2.536,38.348,0.051,35.7,40.8
29,4,2.465,38.64,0.051,36,41.1
29,5,2.43,38.785,0.051,36.1,41.2
29,6,2.36,39.075,0.051,36.4,41.5
