male_sex,nulliparous,gestational_age_week,gestational_age_day,L,M,S,p10,p90
TRUE,TRUE,22,0,1.594,446.995,0.122,373,514
TRUE,TRUE,22,1,1.591,457.208,0.122,382,526
TRUE,TRUE,22,2,1.585,477.633,0.122,399,549
TRUE,TRUE,22,3,1.582,487.847,0.122,407,561
TRUE,TRUE,22,4,1.575,508.279,0.123,424,585
TRUE,TRUE,22,5,1.572,518.499,0.123,433,597
TRUE,TRUE,22,6,1.566,538.951,0.123,450,620
TRUE,TRUE,23,0,1.563,549.186,0.123,458,632
TRUE,TRUE,23,1,1.559,559.427,0.123,467,644
TRUE,TRUE,23,2,1.553,579.937,0.123,484,668
TRUE,TRUE,23,3,1.55,590.211,0.123,493,680
TRUE,TRUE,23,4,1.544,610.811,0.123,510,704
TRUE,TRUE,23,5,1.54,621.144,0.123,518,716
TRUE,TRUE,23,6,1.534,641.89,0.123,535,740
TRUE,TRUE,24,0,1.531,652.311,0.124,544,752
TRUE,TRUE,24,1,1.528,662.77,0.124,553,764
TRUE,TRUE,24,2,1.521,683.813,0.124,570,788
TRUE,TRUE,24,3,1.518,694.405,0.124,579,801
TRUE,TRUE,24,4,1.512,715.744,0.124,597,825
TRUE,TRUE,24,5,1.509,726.499,0.124,606,838
TRUE,TRUE,24,6,1.502,748.195,0.124,624,863
TRUE,TRUE,25,0,1.499,759.141,0.124,633,876
TRUE,TRUE,25,1,1.496,770.156,0.124,642,888
TRUE,TRUE,25,2,1.489,792.401,0.125,660,914
TRUE,TRUE,25,3,1.486,803.634,0.125,670,927
TRUE,TRUE,25,4,1.479,826.328,0.125,689,954
TRUE,TRUE,25,5,1.476,837.793,0.125,698,967
TRUE,TRUE,25,6,1.469,860.962,0.125,717,994
TRUE,TRUE,26,0,1.466,872.669,0.125,727,1008
TRUE,TRUE,26,1,1.462,884.461,0.125,737,1022
TRUE,TRUE,26,2,1.456,908.303,0.125,757,1049
TRUE,TRUE,26,3,1.452,920.354,0.125,766,1063
TRUE,TRUE,26,4,1.446,944.725,0.126,787,1092
TRUE,TRUE,26,5,1.442,957.047,0.126,797,1106
TRUE,TRUE,26,6,1.436,981.965,0.126,818,1135
TRUE,TRUE,27,0,1.432,994.562,0.126,828,1150
TRUE,TRUE,27,1,1.429,1007.252,0.126,838,1165
TRUE,TRUE,27,2,1.422,1032.908,0.126,860,1195
TRUE,TRUE,27,3,1.419,1045.874,0.126,870,1210
TRUE,TRUE,27,4,1.413,1072.086,0.126,892,1240
TRUE,TRUE,27,5,1.41,1085.33,0.126,903,1256
TRUE,TRUE,27,6,1.403,1112.095,0.127,925,1287
TRUE,TRUE,28,0,1.4,1125.617,0.127,936,1303
TRUE,TRUE,28,1,1.397,1139.232,0.127,948,1319
TRUE,TRUE,28,2,1.391,1166.743,0.127,970,1351
TRUE,TRUE,28,3,1.388,1180.639,0.127,982,1367
TRUE,TRUE,28,4,1.383,1208.717,0.127,1005,1400
TRUE,TRUE,28,5,1.38,1222.897,0.127,1017,1417
TRUE,TRUE,28,6,1.374,1251.54,0.127,1040,1450
TRUE,TRUE,29,0,1.372,1266.002,0.127,1052,1467
TRUE,TRUE,29,1,1.369,1280.557,0.127,1064,1484
TRUE,TRUE,29,2,1.364,1309.946,0.128,1089,1518
TRUE,TRUE,29,3,1.361,1324.778,0.128,1101,1536
TRUE,TRUE,29,4,1.357,1354.717,0.128,1126,1571
TRUE,TRUE,29,5,1.354,1369.822,0.128,1138,1588
TRUE,TRUE,29,6,1.35,1400.305,0.128,1163,1624
TRUE,TRUE,30,0,1.348,1415.682,0.128,1176,1642
TRUE,TRUE,30,1,1.346,1431.147,0.128,1189,1660
TRUE,TRUE,30,2,1.341,1462.344,0.128,1214,1697
TRUE,TRUE,30,3,1.339,1478.075,0.128,1227,1715
TRUE,TRUE,30,4,1.336,1509.797,0.129,1254,1752
TRUE,TRUE,30,5,1.334,1525.789,0.129,1267,1771
TRUE,TRUE,30,6,1.33,1558.035,0.129,1293,1809
TRUE,TRUE,31,0,1.329,1574.289,0.129,1307,1828
TRUE,TRUE,31,1,1.327,1590.629,0.129,1320,1847
TRUE,TRUE,31,2,1.324,1623.566,0.129,1348,1885
TRUE,TRUE,31,3,1.322,1640.159,0.129,1361,1904
TRUE,TRUE,31,4,1.319,1673.589,0.129,1389,1943
TRUE,TRUE,31,5,1.318,1690.422,0.129,1403,1963
TRUE,TRUE,31,6,1.315,1724.316,0.129,1431,2003
TRUE,TRUE,32,0,1.314,1741.375,0.129,1445,2022
TRUE,TRUE,32,1,1.312,1758.505,0.129,1459,2042
TRUE,TRUE,32,2,1.31,1792.972,0.129,1488,2083
TRUE,TRUE,32,3,1.308,1810.304,0.129,1502,2103
TRUE,TRUE,32,4,1.306,1845.15,0.129,1532,2143
TRUE,TRUE,32,5,1.305,1862.659,0.129,1546,2163
TRUE,TRUE,32,6,1.302,1897.833,0.129,1576,2204
TRUE,TRUE,33,0,1.301,1915.489,0.129,1590,2225
TRUE,TRUE,33,1,1.3,1933.185,0.129,1605,2245
TRUE,TRUE,33,2,1.298,1968.684,0.129,1635,2286
TRUE,TRUE,33,3,1.296,1986.48,0.129,1650,2307
TRUE,TRUE,33,4,1.294,2022.156,0.129,1680,2348
TRUE,TRUE,33,5,1.292,2040.031,0.129,1695,2369
TRUE,TRUE,33,6,1.289,2075.847,0.128,1725,2410
TRUE,TRUE,34,0,1.288,2093.785,0.128,1741,2430
